Timestamp,Value,24hrVolume,24hrChange,TimeChange
12:07-09/13/2023,26302.95155581056,13544914935,0.08,0
12:11-09/13/2023,26303.071778456717,13543239911,0.15,240
12:12-09/13/2023,26306.411799714006,13547281207,0.18,60
12:13-09/13/2023,26313.680590542688,13555494125,0.24,60
12:14-09/13/2023,26329.112531691444,13563480543,0.33,60
18:14-09/15/2023,26557.35486752439,9817294050,-0.22,194400
21:45-09/15/2023,26663.448487636913,10954070762,0.42,12660
16:49-09/21/2023,26625.97521397226,13344228828,-1.58,500640
17:05-09/21/2023,26637.5969766571,13308828396,-1.63,960
17:09-09/21/2023,26643.755563041173,13312676263,-1.64,240
17:10-09/21/2023,26643.905889689056,13315457574,-1.64,60
17:13-09/21/2023,26651.379769804033,13306599767,-1.61,180
17:15-09/21/2023,26656.410257246218,13305272981,-1.62,120
17:18-09/21/2023,26655.40199276207,13277431163,-1.92,180
17:20-09/21/2023,26656.807950900635,13239777916,-1.92,120
17:21-09/21/2023,26656.612096101228,13238043619,-1.94,60
17:22-09/21/2023,26656.53934082967,13225457614,-1.93,60
17:23-09/21/2023,26656.768219723705,13200856275,-1.93,60
17:24-09/21/2023,26648.032243557605,13182111058,-1.91,60
17:25-09/21/2023,26645.3014933441,13179778959,-1.94,60
17:26-09/21/2023,26644.917573888,13179904123,-1.95,60
17:29-09/21/2023,26638.2565190771,13162578566,-2.00,180
12:30-10/07/2023,27964.841223008323,21343602737,0.22,1364460
12:31-10/07/2023,27964.95711557608,21342715728,0.23,60
12:32-10/07/2023,27964.96008844604,21364078673,0.24,60
12:34-10/07/2023,27967.644230143775,21339617794,0.35,120
12:38-10/07/2023,27967.871074741284,21346250615,0.27,240
13:46-10/07/2023,27961.69306879273,20034706636,-0.02,4080
13:50-10/07/2023,27960.401407520185,18677344593,0.01,240
